CellType,Factor,ENCODE_BAM,ENCODE_BED,Model-k,Model-theta,Model-frac,Model-spot,Model-pcr,ModelFile
GM12878,H3K27me3,ENCFF014HHB,ENCFF247VUO,5.09,39.64,0.00099,0.02681,0.97,s3://chipmunk-encode-models/GM12878_H3K27me3_ENCFF014HHB_ENCFF247VUO-1.9.json
GM12878,H3K27me3,ENCFF244BSW,ENCFF247VUO,5.23,39.11,0.00102,0.03029,0.96,s3://chipmunk-encode-models/GM12878_H3K27me3_ENCFF244BSW_ENCFF247VUO-1.9.json
GM12878,H3K27me3,ENCFF809FFP,ENCFF851UKZ,9.69,21.61,0.00061,0.02832,0.98,s3://chipmunk-encode-models/GM12878_H3K27me3_ENCFF809FFP_ENCFF851UKZ-1.9.json
GM12878,H3K27me3,ENCFF879MYE,ENCFF851UKZ,10.38,20.11,0.00061,0.02901,0.97,s3://chipmunk-encode-models/GM12878_H3K27me3_ENCFF879MYE_ENCFF851UKZ-1.9.json
GM12878,H3K36me3,ENCFF191SDM,ENCFF479XLN,5.30,38.84,0.00258,0.12212,0.98,s3://chipmunk-encode-models/GM12878_H3K36me3_ENCFF191SDM_ENCFF479XLN-1.9.json
GM12878,H3K36me3,ENCFF381BRW,ENCFF479XLN,5.32,38.77,0.00257,0.12737,0.97,s3://chipmunk-encode-models/GM12878_H3K36me3_ENCFF381BRW_ENCFF479XLN-1.9.json
GM12878,H3K4me1,ENCFF252ZII,ENCFF921LKB,5.76,37.26,0.00700,0.25822,0.96,s3://chipmunk-encode-models/GM12878_H3K4me1_ENCFF252ZII_ENCFF921LKB-1.9.json
GM12878,H3K4me1,ENCFF677IFV,ENCFF921LKB,5.57,37.90,0.00676,0.24616,0.82,s3://chipmunk-encode-models/GM12878_H3K4me1_ENCFF677IFV_ENCFF921LKB-1.9.json
GM12878,H3K4me2,ENCFF384FAF,ENCFF983SMS,5.45,38.31,0.00966,0.46209,0.97,s3://chipmunk-encode-models/GM12878_H3K4me2_ENCFF384FAF_ENCFF983SMS-1.9.json
GM12878,H3K4me2,ENCFF636KDX,ENCFF983SMS,5.90,36.81,0.00978,0.49077,0.92,s3://chipmunk-encode-models/GM12878_H3K4me2_ENCFF636KDX_ENCFF983SMS-1.9.json
